,time,lat,lon,eletrico,n_particulas,d_particulas,ldsa
57877,1335275400.0,47.369706,8.543455,5,4338,31.5,6.8
57920,1335275640.0,47.376556,8.54365,5,3190,34.4,5.5
57966,1335275880.0,47.379336,8.538134,5,9231,26.8,12.0
58579,1335279000.0,47.365445,8.54755,5,4582,30.4,6.9
58846,1335280320.0,47.367328,8.545269000000001,5,6803,33.8,11.5
59419,1335283260.0,47.379919,8.537455,5,11008,25.3,13.5
59424,1335283320.0,47.379220000000004,8.538311,5,6177,23.5,7.0
60721,1335289920.0,47.363856,8.549223,5,5097,35.8,9.2
60756,1335290100.0,47.367098,8.545378999999999,5,4652,38.8,9.2
60862,1335290640.0,47.377927,8.541732000000001,5,7849,39.6,15.8
61407,1335293400.0,47.376034000000004,8.543531,5,3132,35.7,5.6
61505,1335293940.0,47.362969,8.549909,5,2249,35.6,4.0
62352,1335298200.0,47.378546,8.540811999999999,5,5113,31.3,7.9
62773,1335300420.0,47.376971999999995,8.542266,5,9912,28.6,13.9
63610,1335304680.0,47.366484,8.546396000000001,5,2225,35.1,3.9
63674,1335304980.0,47.376546999999995,8.543658,5,3565,38.6,7.0
64250,1335307980.0,47.377522,8.541729,5,7286,30.7,11.1
64330,1335308340.0,47.367128,8.545247,5,2661,39.9,5.4
64370,1335308580.0,47.363426000000004,8.549458999999999,5,1969,39.8,4.0
73692,1335424440.0,47.373567,8.530056,5,19921,43.5,44.6
73750,1335424740.0,47.366956,8.540302,5,21142,41.5,44.8
73786,1335424920.0,47.366946999999996,8.545032,5,18380,42.8,40.3
74587,1335429000.0,47.373478000000006,8.527339,5,24225,38.9,47.9
74911,1335430680.0,47.36466,8.54853,5,24875,41.0,52.2
74923,1335430740.0,47.365635,8.547686,5,23938,41.5,50.8
75069,1335431460.0,47.373388,8.527622000000001,5,22831,46.6,55.2
75818,1335435240.0,47.366364000000004,8.546435,5,8066,45.5,19.0
75954,1335435960.0,47.373647,8.530168,5,8524,43.5,19.1
76703,1335439800.0,47.36659,8.54616,5,19597,41.8,41.9
76815,1335440400.0,47.373703000000006,8.53032,5,5618,39.1,11.2
76847,1335440580.0,47.374098,8.525745,5,7431,38.3,14.4
77360,1335443160.0,47.364821,8.54839,5,39678,23.8,45.5
77383,1335443220.0,47.360578000000004,8.552147999999999,5,6352,37.8,12.2
77570,1335444240.0,47.366617,8.546158,5,15894,41.4,33.6
77633,1335444540.0,47.368311,8.539715,5,4672,40.6,9.7
78149,1335447120.0,47.369717,8.538217999999999,5,8828,37.3,16.7
79353,1335453300.0,47.366602,8.546242,5,24240,26.3,31.0
79368,1335453420.0,47.367022999999996,8.544673,5,18008,29.8,26.4
79394,1335453540.0,47.367723,8.54007,5,13821,27.5,18.6
79962,1335456420.0,47.366715,8.542172,5,21899,31.0,33.7
80839,1335460920.0,47.373508,8.529492999999999,5,7722,42.2,16.7
81294,1335463260.0,47.37227,8.534824,5,8916,33.0,14.7
81820,1335465960.0,47.370713,8.536973,5,3657,43.6,8.2
82462,1335469200.0,47.373683,8.530036,5,6671,43.5,14.9
82564,1335469740.0,47.366929999999996,8.545029,5,10084,40.7,21.0
82896,1335471420.0,47.372912,8.533959,5,30669,26.6,39.8
82924,1335471540.0,47.373706,8.530066999999999,5,9814,41.4,20.8
84962,1335507300.0,47.373371999999996,8.531721000000001,5,13305,45.2,31.0
85278,1335508980.0,47.362790000000004,8.550142999999998,5,15085,39.4,30.3
85973,1335512460.0,47.361333,8.55139,5,18388,50.7,48.7
86163,1335513480.0,47.365404,8.547639,5,14625,46.7,35.4
86722,1335516360.0,47.372817,8.533857000000001,5,19398,46.6,46.9
86781,1335516660.0,47.366533000000004,8.541547999999999,5,14386,44.8,33.3
87618,1335520920.0,47.370371,8.537522000000001,5,10195,47.4,25.1
88498,1335525360.0,47.371664,8.535532,5,7091,50.7,18.8
88847,1335527160.0,47.366944000000004,8.545094,5,11750,43.2,26.1
89715,1335531600.0,47.366571,8.546151,5,10157,47.6,25.1
89720,1335531600.0,47.366566999999996,8.546125,5,19496,44.6,44.8
90606,1335536100.0,47.366645,8.546167,5,12892,37.8,24.7
90752,1335536880.0,47.374114,8.525685000000001,5,18094,30.8,27.6
91184,1335539100.0,47.369686,8.538894,5,9327,42.1,20.1
91567,1335541020.0,47.371472,8.535798,5,15004,34.9,26.3
92301,1335544740.0,47.360098,8.552479,5,8121,47.2,19.9
92303,1335544740.0,47.360096,8.552467,5,8589,44.8,19.8
92395,1335545280.0,47.366509,8.541183,5,9563,49.2,24.5
93080,1335548820.0,47.363815,8.549151,5,9007,44.7,20.8
93320,1335550020.0,47.366958000000004,8.545147,5,11760,42.3,25.5
94350,1335555240.0,47.368190000000006,8.539903,5,9571,44.9,22.2
95173,1335559500.0,47.366528,8.541169,5,40770,30.6,61.8
95718,1335562200.0,47.369987,8.537924,5,19615,47.0,47.8
95948,1335563400.0,47.360093,8.55246,5,15522,44.7,35.8
96049,1335563940.0,47.369396,8.538958000000001,5,24019,46.3,57.5
96858,1335568020.0,47.36653,8.541223,5,24824,50.2,65.1
96881,1335568140.0,47.369554,8.539205,5,19545,50.8,51.9
97453,1335571080.0,47.36687,8.545266,5,16300,54.4,46.7
97699,1335572340.0,47.36847,8.539653999999999,5,14777,54.8,42.7
98054,1335735960.0,47.37993,8.537511,5,5540,36.3,10.1
98561,1335738480.0,47.373145,8.538267,5,6713,37.5,12.7
105746,1335775200.0,47.364653000000004,8.530529,5,13431,34.9,23.5
106729,1335780240.0,47.374793,8.538818,5,11182,39.7,22.6
107123,1335782280.0,47.367691,8.534944,5,6979,40.3,14.4
107156,1335782460.0,47.371487,8.53866,5,7204,40.4,14.9
107763,1335785460.0,47.377069,8.540985000000001,5,6947,44.5,15.9
107866,1335786060.0,47.364671,8.530626,5,8184,39.8,16.6
108131,1335787380.0,47.361821,8.526311,5,10420,37.3,19.7
108252,1335787980.0,47.375997999999996,8.539465,5,8361,41.8,17.9
108856,1335791100.0,47.373174,8.538399,5,11376,45.3,26.6
108873,1335791160.0,47.370314,8.539064,5,11181,41.9,24.0
109948,1335796680.0,47.367788,8.535279,5,7044,42.1,15.2
110261,1335798240.0,47.361289,8.525524,5,6178,46.6,14.9
111075,1335802380.0,47.364697,8.530635,5,9076,39.2,18.1
111426,1335804240.0,47.376526,8.539683,5,13084,40.1,26.8
111483,1335804540.0,47.379912,8.537564,5,14631,51.0,39.0
112035,1335807360.0,47.379575,8.537456,5,10163,39.5,20.4
113230,1335813420.0,47.376826,8.539826,5,12449,29.9,18.3
114313,1335818940.0,47.377081,8.541155,5,6639,28.1,9.2
114362,1335819240.0,47.369834000000004,8.538662,5,3869,27.2,5.1
116895,1333929720.0,47.376971000000005,8.541016,6,17326,59.4,59.7
117169,1334823240.0,47.363524,8.549392,6,23632,49.2,65.3
117303,1334823900.0,47.360107,8.552522,6,16977,40.2,37.2
117372,1334824260.0,47.366986,8.545098,6,57193,37.3,114.6
117395,1334824380.0,47.366524,8.541179,6,23585,42.0,54.3
117426,1334824500.0,47.369649,8.53898,6,12629,44.8,31.4
118060,1334159220.0,47.373671,8.529983,8,13846,39.6,29.8
118747,1334163240.0,47.367688,8.545632000000001,8,15065,33.4,26.6
118811,1334163600.0,47.368774,8.539446,8,12489,39.3,26.6
119339,1334166300.0,47.374169,8.549859,8,11794,36.7,23.2
119958,1334170020.0,47.372263000000004,8.534877,8,9326,37.5,18.8
120327,1334171880.0,47.3734,8.531509,8,11227,37.8,22.9
121094,1334176380.0,47.368576000000004,8.539349000000001,8,10632,37.4,21.4
121168,1334176740.0,47.373758,8.529505,8,21403,45.7,54.4
121940,1334180700.0,47.377193,8.548422,8,15818,35.3,29.7
122781,1334185140.0,47.371908000000005,8.550525,8,15225,37.3,30.5
122794,1334185200.0,47.37043,8.548995,8,24999,35.5,47.3
123736,1334190000.0,47.369603999999995,8.538991000000001,8,10404,42.1,24.0
124121,1334191980.0,47.371590000000005,8.550291,8,9790,43.0,23.2
126087,1334221320.0,47.377838,8.544353,8,45054,32.4,76.8
126451,1334223180.0,47.376999,8.553991,8,17354,38.6,36.3
126821,1334225100.0,47.374084,8.538354,8,16659,46.3,43.0
126962,1334225820.0,47.366316,8.532792,8,96643,18.3,84.7
127554,1334228880.0,47.370021,8.539050999999999,8,12386,43.9,30.0
127598,1334229120.0,47.366287,8.532672,8,19849,40.9,44.3
128097,1334231700.0,47.375407,8.552956,8,17621,40.1,38.5
128198,1334232180.0,47.377063,8.540732,8,32018,32.5,54.7
128230,1334232360.0,47.37355,8.538283,8,17932,35.3,33.8
128523,1334233860.0,47.37715,8.547499,8,4904,43.0,11.6
129098,1334236800.0,47.368663,8.537436999999999,8,6769,44.1,16.5
129262,1334237580.0,47.374697999999995,8.550092,8,31218,74.6,140.0
129516,1334238960.0,47.374767,8.54973,8,10503,39.2,22.4
129751,1334240160.0,47.364478000000005,8.531481,8,10055,41.8,23.0
130236,1334242680.0,47.376909000000005,8.548636,8,11281,42.7,26.5
130246,1334242740.0,47.377268,8.547775999999999,8,9889,46.0,25.3
130330,1334243160.0,47.376622999999995,8.539715,8,18309,47.4,48.6
130389,1334243460.0,47.369341999999996,8.538322,8,9286,44.2,22.7
131672,1334250060.0,47.376985,8.554293,8,8647,35.8,16.5
131714,1334250240.0,47.374974,8.549522999999999,8,20004,39.2,42.6
131882,1334251140.0,47.367888,8.535167,8,9877,37.7,20.1
131904,1334251260.0,47.364669,8.531611999999999,8,30082,30.0,46.8
131926,1334251320.0,47.364258,8.531897,8,7899,39.5,16.9
131970,1334251560.0,47.364163,8.531792,8,9400,38.8,19.7
132041,1334251920.0,47.368229,8.536044,8,27838,40.0,60.6
132139,1334252400.0,47.376146999999996,8.539565,8,12321,41.8,28.2
132198,1334252760.0,47.376938,8.548627999999999,8,13770,30.9,22.2
132199,1334252760.0,47.376903000000006,8.548648,8,18575,34.4,33.9
132471,1334254140.0,47.377008000000004,8.552569,8,10272,40.8,22.9
134378,1334295120.0,47.36428,8.531417999999999,8,5039,39.8,10.9
