,time,lat,lon,eletrico,CO
0,0.0,39.86797,-4.03425,0.0,4.6326964330157985
1,0.0,39.86797,-4.0342147100000005,0.0,4.708379698146443
2,0.0,39.86797,-4.034179420000001,0.0,4.784060141081024
3,0.0,39.86797,-4.034144130000001,0.0,4.859737698630335
4,0.0,39.86797,-4.034108840000002,0.0,4.935412305707084
5,0.0,39.86797,-4.034073550000002,0.0,5.011083895254188
6,0.0,39.86797,-4.034038260000003,0.0,5.086752398169796
7,0.0,39.86797,-4.034002970000003,0.0,5.162417743228849
8,0.0,39.86797,-4.0339676800000035,0.0,5.238079857001029
9,0.0,39.86797,-4.033932390000004,0.0,5.313738663764859
10,0.0,39.86797,-4.033897100000004,0.0,5.389394085417782
11,0.0,39.86797,-4.033861810000005,0.0,5.465046041381957
12,0.0,39.86797,-4.033826520000005,0.0,5.540694448505576
13,0.0,39.86797,-4.033791230000006,0.0,5.6163392209593965
14,0.0,39.86797,-4.033755940000006,0.0,5.691980270128306
15,0.0,39.86797,-4.0337206500000065,0.0,5.76761750449751
16,0.0,39.86797,-4.033685360000007,0.0,5.843250829533165
17,0.0,39.86797,-4.033650070000007,0.0,5.918880147557044
18,0.0,39.86797,-4.033614780000008,0.0,5.994505357614923
19,0.0,39.86797,-4.033579490000008,0.0,6.0701263553383225
20,0.0,39.86797,-4.033544200000009,0.0,6.145743032799167
21,0.0,39.86797,-4.033508910000009,0.0,6.221355278357038
22,0.0,39.86797,-4.033473620000009,0.0,6.296962976498406
23,0.0,39.86797,-4.03343833000001,0.0,6.3725660076675545
24,0.0,39.86797,-4.03340304000001,0.0,6.448164248088519
25,0.0,39.86797,-4.033367750000011,0.0,6.52375756957756
26,0.0,39.86797,-4.033332460000011,0.0,6.599345839345588
27,0.0,39.86797,-4.0332971700000115,0.0,6.674928919789874
28,0.0,39.86797,-4.033261880000012,0.0,6.750506668274349
29,0.0,39.86797,-4.033226590000012,0.0,6.826078936897838
30,0.0,39.86797,-4.033191300000013,0.0,6.901645572249349
31,0.0,39.86797,-4.033156010000013,0.0,6.977206415149631
32,0.0,39.86797,-4.033120720000014,0.0,7.052761300378092
33,0.0,39.86797,-4.033085430000014,0.0,7.128310056384068
34,0.0,39.86797,-4.0330501400000145,0.0,7.203852504981416
35,0.0,39.86797,-4.033014850000015,0.0,7.279388461025313
36,0.0,39.86797,-4.032979560000015,0.0,7.354917732069991
37,0.0,39.86797,-4.032944270000016,0.0,7.430440118006144
38,0.0,39.86797,-4.032908980000016,0.0,7.505955410676552
39,0.0,39.86797,-4.032873690000017,0.0,7.581463393468393
40,0.0,39.86797,-4.032838400000017,0.0,7.6569638408805885
41,0.0,39.86797,-4.0328031100000175,0.0,7.732456518064372
42,0.0,39.86797,-4.032767820000018,0.0,7.8079411803351375
43,0.0,39.86797,-4.032732530000018,0.0,7.883417572653466
44,0.0,39.86797,-4.032697240000019,0.0,7.958885429073033
45,0.0,39.86797,-4.032661950000019,0.0,8.034344472152902
46,0.0,39.86797,-4.03262666000002,0.0,8.109794412331528
47,0.0,39.86797,-4.03259137000002,0.0,8.185234947259513
48,0.0,39.86797,-4.03255608000002,0.0,8.260665761087932
49,0.0,39.86797,-4.032520790000021,0.0,8.336086523708744
50,0.0,39.86797,-4.032485500000021,0.0,8.411496889943505
51,0.0,39.86797,-4.032450210000022,0.0,8.48689649867621
52,0.0,39.86797,-4.032414920000022,0.0,8.562284971925786
53,0.0,39.86797,-4.0323796300000225,0.0,8.637661913853275
54,0.0,39.86797,-4.032344340000023,0.0,8.71302690969828
55,0.0,39.86797,-4.032309050000023,0.0,8.788379524638762
56,0.0,39.86797,-4.032273760000024,0.0,8.863719302567702
57,0.0,39.86797,-4.032238470000024,0.0,8.93904576477947
58,0.0,39.86797,-4.032203180000025,0.0,9.014358408558078
59,0.0,39.86797,-4.032167890000025,0.0,9.089656705658687
60,0.0,39.86797,-4.0321326000000255,0.0,9.164940100672876
61,0.0,39.86797,-4.032097310000026,0.0,9.240208009267192
62,0.0,39.86797,-4.032062020000026,0.0,9.31545981628343
63,0.0,39.86797,-4.032026730000027,0.0,9.390694873687899
64,0.0,39.86797,-4.031991440000027,0.0,9.465912498355463
65,0.0,39.86797,-4.031956150000028,0.0,9.541111969672805
66,0.0,39.86797,-4.031920860000028,0.0,9.616292526943443
67,0.0,39.86797,-4.0318855700000285,0.0,9.691453366575299
68,0.0,39.86797,-4.031850280000029,0.0,9.766593639029292
69,0.0,39.86797,-4.031814990000029,0.0,9.841712445505115
70,0.0,39.86797,-4.03177970000003,0.0,9.916808834337509
71,0.0,39.86797,-4.03174441000003,0.0,9.991881797073294
72,0.0,39.86797,-4.031709120000031,0.0,10.066930264195868
73,0.0,39.86797,-4.031673830000031,0.0,10.141953100459848
74,0.0,39.86797,-4.031638540000031,0.0,10.216949099794046
75,0.0,39.86797,-4.031603250000032,0.0,10.291916979725773
76,0.0,39.86797,-4.031567960000032,0.0,10.366855375273484
77,0.0,39.86797,-4.031532670000033,0.0,10.441762832248177
78,0.0,39.86797,-4.031497380000033,0.0,10.516637799896117
79,0.0,39.86797,-4.0314620900000335,0.0,10.591478622806651
80,0.0,39.86797,-4.031426800000034,0.0,10.666283531998735
81,0.0,39.86797,-4.031391510000034,0.0,10.741050635088015
82,0.0,39.86797,-4.031356220000035,0.0,10.815777905422888
83,0.0,39.86797,-4.031320930000035,0.0,10.89046317006228
84,0.0,39.86797,-4.031285640000036,0.0,10.96510409644981
85,0.0,39.86797,-4.031250350000036,0.0,11.039698177618044
